country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
United Kingdom,1989,female,75+ years,176,2599321,United Kingdom1989,,"926,884,816,754",17349,G.I. Generation
Paraguay,1989,female,5-14 years,1,517971,Paraguay1989,,"4,599,970,618",1330,Generation X
South Africa,1996,male,35-54 years,36,4031071,South Africa1996,,"147,607,982,695",3908,Boomers
Kyrgyzstan,1996,male,35-54 years,142,394300,Kyrgyzstan1996,,"1,827,570,586",459,Boomers
Greece,2006,female,5-14 years,1,517798,Greece2006,,"273,317,737,047",25739,Millenials
Republic of Korea,1985,male,75+ years,42,154800,Republic of Korea1985,,"100,273,097,170",2731,G.I. Generation
Bulgaria,1990,male,35-54 years,242,1177100,Bulgaria1990,0.695,"20,632,090,909",2451,Silent
Russian Federation,1996,female,75+ years,1418,4369100,Russian Federation1996,,"391,719,993,757",2813,G.I. Generation
United Kingdom,2010,male,25-34 years,513,4128369,United Kingdom2010,0.906,"2,441,173,394,730",41798,Generation X
Maldives,2005,female,35-54 years,0,28181,Maldives2005,0.638,"1,163,362,438",4026,Boomers
Seychelles,2010,male,5-14 years,0,6811,Seychelles2010,0.743,"969,936,525",11563,Generation Z
Guyana,1992,male,75+ years,1,4113,Guyana1992,,"368,281,379",561,G.I. Generation
Armenia,1998,male,5-14 years,0,383700,Armenia1998,,"1,893,726,437",532,Millenials
Czech Republic,2005,male,15-24 years,85,695191,Czech Republic2005,0.847,"136,280,689,891",13961,Millenials
Guyana,2005,male,35-54 years,43,85091,Guyana2005,0.618,"824,880,550",1235,Boomers
Guatemala,2005,male,5-14 years,6,1799665,Guatemala2005,0.576,"27,211,377,225",2450,Millenials
Romania,2010,female,55-74 years,177,2425485,Romania2010,0.785,"166,658,327,827",8190,Silent
Suriname,1995,female,25-34 years,4,37603,Suriname1995,,"693,970,588",1782,Generation X
Malta,2001,female,75+ years,1,12003,Malta2001,,"4,331,870,648",11691,Silent
Costa Rica,1998,male,35-54 years,68,428730,Costa Rica1998,,"13,617,405,420",4046,Boomers
Croatia,2002,female,15-24 years,13,295800,Croatia2002,,"26,878,499,206",6373,Millenials
Argentina,2010,male,15-24 years,683,3455127,Argentina2010,0.811,"423,627,422,092",11273,Millenials
Armenia,1990,female,55-74 years,6,224100,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Grenada,1994,female,25-34 years,0,6714,Grenada1994,,"325,111,815",3735,Boomers
Portugal,1986,female,55-74 years,93,992408,Portugal1986,,"38,749,715,722",4145,G.I. Generation
Austria,1999,female,15-24 years,25,470179,Austria1999,,"217,185,787,343",28722,Generation X
Germany,2001,female,25-34 years,221,5552605,Germany2001,,"1,950,648,769,575",24874,Generation X
Ireland,1985,female,35-54 years,24,353200,Ireland1985,0.742,"21,295,486,383",6638,Silent
Kyrgyzstan,1991,female,75+ years,14,58300,Kyrgyzstan1991,,"2,570,833,333",677,G.I. Generation
Austria,1995,male,25-34 years,237,707468,Austria1995,0.815,"241,038,283,063",32237,Generation X
Maldives,2000,female,15-24 years,0,30505,Maldives2000,0.603,"624,337,145",2524,Generation X
El Salvador,2014,male,5-14 years,2,625429,El Salvador2014,0.666,"22,585,841,200",3965,Generation Z
United States,2015,female,25-34 years,1444,21555712,United States2015,,"18,120,714,000,000",60387,Millenials
Singapore,1989,female,15-24 years,35,224700,Singapore1989,,"30,423,573,842",12514,Generation X
Republic of Korea,2010,female,55-74 years,1200,4424476,Republic of Korea2010,,"1,094,499,338,703",22994,Silent
United States,2015,male,55-74 years,9068,32264697,United States2015,,"18,120,714,000,000",60387,Boomers
Bahrain,2010,female,55-74 years,0,27834,Bahrain2010,0.819,"25,713,271,277",22572,Silent
Hungary,1998,male,15-24 years,145,810229,Hungary1998,,"48,770,466,839",5010,Generation X
Czech Republic,1999,female,15-24 years,24,790478,Czech Republic1999,,"64,867,483,193",6606,Generation X
Denmark,2009,female,35-54 years,43,773415,Denmark2009,,"321,241,396,034",61863,Boomers
Armenia,1991,male,55-74 years,9,203100,Armenia1991,,"2,068,526,522",640,Silent
Azerbaijan,1998,female,55-74 years,4,491600,Azerbaijan1998,,"4,446,396,218",631,Silent
Belgium,2012,female,35-54 years,217,1551324,Belgium2012,0.889,"497,884,216,569",47678,Generation X
Republic of Korea,2012,female,25-34 years,733,3604570,Republic of Korea2012,,"1,222,807,284,485",25464,Millenials
Latvia,2011,male,75+ years,35,44766,Latvia2011,0.812,"28,223,552,825",14447,Silent
Albania,2000,male,25-34 years,17,232000,Albania2000,0.656,"3,632,043,908",1299,Generation X
Greece,1994,male,55-74 years,88,1037789,Greece1994,,"116,601,802,107",11638,Silent
Seychelles,1986,male,15-24 years,0,7500,Seychelles1986,,"207,850,624",3621,Generation X
Antigua and Barbuda,2015,female,75+ years,0,1724,Antigua and Barbuda2015,,"1,364,863,037",14853,Silent
United Kingdom,1985,female,55-74 years,678,6002096,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
Germany,1990,male,15-24 years,800,5565400,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Finland,2011,female,75+ years,9,280924,Finland2011,0.881,"273,674,236,773",53809,Silent
Malta,2000,female,25-34 years,2,24143,Malta2000,0.766,"4,306,192,436",11873,Generation X
Antigua and Barbuda,1995,male,5-14 years,0,7632,Antigua and Barbuda1995,,"577,280,741",8636,Millenials
Greece,2001,male,15-24 years,23,805944,Greece2001,,"136,191,353,468",13043,Millenials
Suriname,1986,male,25-34 years,6,29250,Suriname1986,,"891,000,000",2731,Boomers
Puerto Rico,1989,female,15-24 years,3,354900,Puerto Rico1989,,"28,161,200,000",8576,Generation X
Estonia,1998,female,5-14 years,1,98422,Estonia1998,,"5,617,109,245",4250,Millenials
New Zealand,2008,male,15-24 years,83,314500,New Zealand2008,,"133,279,679,483",33585,Millenials
El Salvador,2000,female,55-74 years,4,298428,El Salvador2000,0.603,"11,784,927,700",2303,Silent
Uruguay,2004,female,55-74 years,31,303509,Uruguay2004,,"13,686,329,890",4463,Silent
Hungary,1996,male,35-54 years,1146,1434514,Hungary1996,,"46,659,796,773",4792,Boomers
Bulgaria,1990,female,15-24 years,26,618000,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
Mexico,1988,female,25-34 years,59,5953000,Mexico1988,,"183,144,164,357",2630,Boomers
Serbia,2011,male,5-14 years,1,363937,Serbia2011,0.761,"46,466,728,667",6734,Generation Z
Estonia,2014,female,5-14 years,0,66119,Estonia2014,0.861,"26,224,622,451",21117,Generation Z
Kiribati,2001,female,15-24 years,0,8197,Kiribati2001,,"63,101,272",854,Millenials
Ukraine,1987,female,25-34 years,176,3953000,Ukraine1987,,"64,087,694,038",1353,Boomers
Philippines,2011,female,75+ years,14,782366,Philippines2011,0.653,"224,143,083,707",2662,Silent
United States,2000,female,5-14 years,63,20034103,United States2000,0.883,"10,284,779,000,000",39218,Millenials
Ireland,1996,male,35-54 years,111,454800,Ireland1996,,"75,880,632,560",22478,Boomers
Russian Federation,2000,male,55-74 years,9656,10282841,Russian Federation2000,,"259,708,496,267",1879,Silent
Barbados,1986,female,75+ years,0,7000,Barbados1986,,"1,556,321,742",6720,G.I. Generation
Saint Lucia,1999,male,75+ years,0,2381,Saint Lucia1999,,"775,934,813",5590,G.I. Generation
El Salvador,1990,male,55-74 years,34,201577,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
Singapore,2005,female,55-74 years,27,259500,Singapore2005,0.841,"127,417,688,056",38122,Silent
Malta,1991,female,75+ years,0,8500,Malta1991,,"2,750,041,434",8313,G.I. Generation
Trinidad and Tobago,1997,male,25-34 years,34,97588,Trinidad and Tobago1997,,"5,737,751,332",4937,Generation X
Chile,1985,male,75+ years,34,87600,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
Costa Rica,1997,female,5-14 years,2,390374,Costa Rica1997,,"12,552,071,367",3827,Millenials
Turkmenistan,2008,male,25-34 years,94,399182,Turkmenistan2008,,"19,271,523,179",4368,Generation X
Chile,2003,male,55-74 years,252,893577,Chile2003,,"75,643,459,840",5208,Silent
United Kingdom,2008,male,25-34 years,617,3984635,United Kingdom2008,,"2,890,564,338,235",50111,Generation X
Suriname,2002,female,35-54 years,4,54990,Suriname2002,,"1,078,402,128",2507,Boomers
Cuba,2014,male,55-74 years,348,1034381,Cuba2014,0.769,"80,656,100,000",7459,Boomers
Trinidad and Tobago,2003,female,55-74 years,2,80631,Trinidad and Tobago2003,,"11,305,459,802",9465,Silent
Netherlands,1995,female,35-54 years,198,2185200,Netherlands1995,0.861,"446,528,959,649",30850,Boomers
Paraguay,2005,male,75+ years,7,47349,Paraguay2005,0.646,"8,734,653,809",1704,Silent
Kuwait,2001,female,15-24 years,0,158070,Kuwait2001,,"34,890,772,742",17116,Millenials
Japan,2004,female,25-34 years,1088,8932000,Japan2004,,"4,815,148,854,362",39960,Generation X
Bahrain,1987,male,25-34 years,3,63900,Bahrain1987,,"3,392,021,011",9321,Boomers
Portugal,1999,male,15-24 years,21,769488,Portugal1999,,"127,465,545,493",13180,Generation X
Uzbekistan,2001,male,75+ years,15,112545,Uzbekistan2001,,"11,401,351,420",513,Silent
Finland,1991,male,55-74 years,235,396600,Finland1991,,"127,866,490,222",27214,Silent
Luxembourg,1988,male,75+ years,2,7300,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
Belarus,1990,male,75+ years,59,123400,Belarus1990,,"21,650,000,000",2301,G.I. Generation
Germany,2005,male,25-34 years,730,5056621,Germany2005,0.887,"2,861,410,272,354",36289,Generation X
Ireland,2009,female,15-24 years,20,292951,Ireland2009,,"236,311,336,482",57390,Millenials
Belgium,2002,female,35-54 years,242,1503026,Belgium2002,,"258,860,436,665",26526,Boomers
Philippines,2010,female,5-14 years,17,10070404,Philippines2010,0.654,"199,590,775,189",2412,Generation Z
Republic of Korea,1986,female,55-74 years,129,2039900,Republic of Korea1986,,"115,537,126,326",3078,G.I. Generation
Trinidad and Tobago,2009,male,5-14 years,1,90312,Trinidad and Tobago2009,,"19,175,196,446",15652,Generation Z
Colombia,2013,male,35-54 years,462,5947520,Colombia2013,0.718,"380,191,881,860",8731,Generation X
Belarus,2008,male,55-74 years,481,716132,Belarus2008,,"60,763,483,146",6601,Silent
United States,1996,female,5-14 years,77,18740800,United States1996,,"8,100,201,000,000",32928,Millenials
Republic of Korea,2003,male,15-24 years,495,3769703,Republic of Korea2003,,"680,520,724,062",14971,Millenials
Georgia,2006,male,25-34 years,13,313300,Georgia2006,,"7,745,406,201",1859,Generation X
United States,1990,male,55-74 years,5109,17861900,United States1990,0.859,"5,979,589,000,000",26004,G.I. Generation
Australia,2014,male,25-34 years,404,1730968,Australia2014,0.935,"1,464,955,475,994",66809,Millenials
Suriname,1985,female,25-34 years,0,18300,Suriname1985,,"873,250,000",2706,Boomers
Russian Federation,1995,male,15-24 years,5733,10678300,Russian Federation1995,,"395,531,066,563",2844,Generation X
Slovakia,2012,male,15-24 years,41,365970,Slovakia2012,0.836,"93,413,992,956",18256,Millenials
Trinidad and Tobago,1993,female,55-74 years,3,57700,Trinidad and Tobago1993,,"4,669,488,516",4066,Silent
Luxembourg,2011,male,5-14 years,0,31212,Luxembourg2011,0.888,"60,004,630,234",122729,Generation Z
Ecuador,2002,female,15-24 years,91,1248096,Ecuador2002,,"28,548,945,000",2472,Millenials
Jamaica,2009,female,25-34 years,1,211928,Jamaica2009,,"12,038,829,246",4686,Generation X
Norway,2007,male,75+ years,31,135701,Norway2007,,"401,082,621,083",90797,Silent
Kyrgyzstan,2007,female,25-34 years,19,408305,Kyrgyzstan2007,,"3,802,566,171",814,Generation X
Japan,1992,male,35-54 years,5269,18135000,Japan1992,,"3,908,809,463,464",33320,Boomers
Kazakhstan,2011,female,75+ years,44,273217,Kazakhstan2011,0.772,"192,626,507,972",12969,Silent
Hungary,2005,male,15-24 years,80,669313,Hungary2005,0.802,"113,035,361,317",11764,Millenials
Norway,1993,male,75+ years,42,114900,Norway1993,,"120,579,072,751",30066,G.I. Generation
Mexico,2008,female,25-34 years,176,9612896,Mexico2008,,"1,109,989,038,339",10864,Generation X
Netherlands,1990,male,25-34 years,204,1287400,Netherlands1990,0.829,"314,267,667,675",22425,Boomers
Estonia,2000,male,75+ years,19,19265,Estonia2000,0.78,"5,685,774,809",4262,G.I. Generation
Slovenia,2001,male,35-54 years,177,311844,Slovenia2001,,"20,875,387,068",10979,Boomers
Finland,1993,female,25-34 years,49,368000,Finland1993,,"89,255,751,015",18826,Boomers
Costa Rica,2008,male,35-54 years,101,562044,Costa Rica2008,,"30,612,932,876",7517,Boomers
Republic of Korea,2007,male,15-24 years,410,3478791,Republic of Korea2007,,"1,122,679,154,632",23982,Millenials
Italy,1998,male,75+ years,646,1503452,Italy1998,,"1,266,309,245,009",23342,G.I. Generation
Estonia,2010,male,35-54 years,61,179395,Estonia2010,0.838,"19,490,936,349",15540,Generation X
Luxembourg,2013,female,5-14 years,0,29800,Luxembourg2013,0.89,"61,739,352,212",120423,Generation Z
Israel,2010,female,5-14 years,3,662543,Israel2010,0.883,"233,609,522,091",34104,Generation Z
Sri Lanka,2006,male,75+ years,211,224927,Sri Lanka2006,,"28,267,410,543",1580,Silent
Spain,2003,female,5-14 years,1,1967167,Spain2003,,"906,853,273,138",22701,Millenials
Grenada,1993,female,5-14 years,0,12426,Grenada1993,,"309,812,185",3632,Millenials
Republic of Korea,2000,male,25-34 years,748,4584802,Republic of Korea2000,,"561,633,125,840",12686,Generation X
Brazil,1997,female,5-14 years,55,17600190,Brazil1997,,"883,199,625,325",5891,Millenials
United Arab Emirates,2009,female,15-24 years,7,385569,United Arab Emirates2009,,"253,547,358,747",34960,Millenials
Estonia,2014,female,75+ years,13,84886,Estonia2014,0.861,"26,224,622,451",21117,Silent
Slovakia,1997,female,75+ years,13,138765,Slovakia1997,,"27,660,149,541",5468,G.I. Generation
Jamaica,2005,male,35-54 years,14,304285,Jamaica2005,0.729,"11,204,416,000",4505,Boomers
Seychelles,2002,male,25-34 years,2,7309,Seychelles2002,,"697,518,248",9070,Generation X
Belgium,2001,female,15-24 years,35,612659,Belgium2001,,"237,841,968,680",24494,Millenials
Maldives,2011,male,25-34 years,1,48207,Maldives2011,0.69,"2,774,351,760",8135,Millenials
Finland,2011,female,25-34 years,26,333422,Finland2011,0.881,"273,674,236,773",53809,Millenials
Ukraine,1991,male,15-24 years,618,3586700,Ukraine1991,,"77,464,561,150",1607,Generation X
Albania,1988,female,35-54 years,4,284500,Albania1988,,"2,126,000,000",769,Silent
Belgium,2008,male,55-74 years,340,1058969,Belgium2008,,"518,625,897,173",51345,Silent
Japan,1987,male,35-54 years,6688,18218000,Japan1987,,"2,532,808,573,157",22137,Silent
Barbados,1986,female,25-34 years,1,22000,Barbados1986,,"1,556,321,742",6720,Boomers
Singapore,2015,male,35-54 years,79,606327,Singapore2015,,"304,097,759,674",81766,Generation X
Chile,2007,female,25-34 years,74,1227488,Chile2007,,"173,605,968,179",11387,Generation X
Guatemala,2014,male,25-34 years,87,1228328,Guatemala2014,0.627,"58,722,323,918",4210,Millenials
Luxembourg,1988,female,15-24 years,0,25900,Luxembourg1988,,"9,750,161,053",27676,Generation X
Argentina,2000,male,5-14 years,18,3502413,Argentina2000,0.762,"284,203,750,000",8462,Millenials
United Arab Emirates,2009,female,75+ years,0,6796,United Arab Emirates2009,,"253,547,358,747",34960,Silent
Slovenia,2002,male,35-54 years,191,314479,Slovenia2002,,"23,563,576,758",12362,Boomers
Spain,1994,female,25-34 years,80,3089200,Spain1994,,"529,121,577,320",14223,Boomers
Romania,1992,female,5-14 years,4,1734300,Romania1992,,"25,121,666,667",1183,Millenials
Belarus,2014,male,25-34 years,297,768569,Belarus2014,0.798,"78,813,839,984",8849,Millenials
Netherlands,1996,female,15-24 years,38,971700,Netherlands1996,,"445,704,575,163",30625,Generation X
Philippines,2006,female,35-54 years,88,8949537,Philippines2006,,"122,210,716,310",1599,Boomers
Belgium,2000,male,55-74 years,353,952563,Belgium2000,0.874,"237,904,919,845",24592,Silent
Brazil,1992,male,25-34 years,981,12740352,Brazil1992,,"400,599,250,000",2924,Boomers
Bulgaria,2000,male,55-74 years,289,813692,Bulgaria2000,0.713,"13,153,016,531",1680,Silent
Australia,1988,female,35-54 years,157,2019000,Australia1988,,"235,699,941,793",15393,Silent
Jamaica,2006,male,15-24 years,0,256580,Jamaica2006,,"11,905,525,197",4738,Millenials
Philippines,2011,female,15-24 years,221,9155053,Philippines2011,0.653,"224,143,083,707",2662,Millenials
Slovakia,1999,female,25-34 years,10,385400,Slovakia1999,,"30,415,095,887",5966,Generation X
Estonia,2000,female,5-14 years,1,88530,Estonia2000,0.78,"5,685,774,809",4262,Millenials
Antigua and Barbuda,1993,male,35-54 years,0,6915,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Trinidad and Tobago,2002,female,75+ years,1,20592,Trinidad and Tobago2002,,"9,008,273,721",7578,Silent
Iceland,1994,male,55-74 years,4,18200,Iceland1994,,"6,294,803,497",25937,Silent
Italy,2012,male,75+ years,604,2382354,Italy2012,0.872,"2,072,823,157,060",36497,Silent
Georgia,1994,female,25-34 years,2,384600,Georgia1994,,"2,513,870,587",556,Boomers
Uzbekistan,2002,male,15-24 years,325,2672936,Uzbekistan2002,,"9,687,951,055",428,Millenials
Hungary,1992,female,25-34 years,73,639938,Hungary1992,,"38,724,945,368",3970,Boomers
Philippines,2000,female,15-24 years,120,7579338,Philippines2000,0.623,"81,026,300,311",1205,Generation X
Uruguay,1988,female,5-14 years,0,269000,Uruguay1988,,"8,213,515,459",2934,Generation X
Norway,2005,female,75+ years,15,221019,Norway2005,0.931,"308,722,079,938",71215,Silent
United States,1992,male,25-34 years,5102,21232500,United States1992,,"6,539,299,000,000",27760,Boomers
Belize,2008,female,55-74 years,0,9143,Belize2008,,"1,368,625,150",5098,Silent
Grenada,2015,female,25-34 years,0,10127,Grenada2015,,"997,007,926",10290,Millenials
Austria,1988,male,35-54 years,431,957006,Austria1988,,"133,339,397,080",18663,Silent
United States,2005,female,55-74 years,1364,25839240,United States2005,0.897,"13,093,726,000,000",47423,Silent
Guatemala,2008,male,75+ years,9,104188,Guatemala2008,,"39,136,893,345",3252,Silent
Thailand,1987,female,35-54 years,227,5381053,Thailand1987,,"50,535,438,696",1045,Silent
Switzerland,1997,male,5-14 years,2,429700,Switzerland1997,,"286,519,135,327",42923,Millenials
Belgium,2011,female,55-74 years,185,1176009,Belgium2011,0.886,"527,008,453,887",50893,Boomers
Belarus,1993,female,25-34 years,58,794600,Belarus1993,,"16,280,991,736",1689,Boomers
Panama,1988,male,35-54 years,19,208538,Panama1988,,"5,902,783,400",2859,Silent
Czech Republic,2002,female,55-74 years,86,1105366,Czech Republic2002,,"81,910,771,994",8399,Silent
Norway,1993,male,35-54 years,162,582800,Norway1993,,"120,579,072,751",30066,Boomers
Austria,1988,female,15-24 years,28,595218,Austria1988,,"133,339,397,080",18663,Generation X
Estonia,2010,female,75+ years,12,75665,Estonia2010,0.838,"19,490,936,349",15540,Silent
Armenia,2015,female,15-24 years,3,212010,Armenia2015,,"10,553,337,673",3775,Millenials
Poland,2009,male,55-74 years,1501,3393358,Poland2009,,"439,796,160,379",12141,Silent
Philippines,1997,male,15-24 years,167,7367351,Philippines1997,,"82,344,260,571",1312,Generation X
Bulgaria,1994,female,55-74 years,160,1013800,Bulgaria1994,,"9,697,416,974",1213,Silent
Trinidad and Tobago,1996,female,25-34 years,6,100227,Trinidad and Tobago1996,,"5,759,537,726",4982,Generation X
Finland,2008,female,15-24 years,26,322278,Finland2008,,"283,742,493,042",56521,Millenials
Iceland,2005,male,25-34 years,6,21570,Iceland2005,0.889,"16,691,490,114",60712,Generation X
Suriname,2002,male,5-14 years,1,51529,Suriname2002,,"1,078,402,128",2507,Millenials
El Salvador,2014,male,25-34 years,77,415163,El Salvador2014,0.666,"22,585,841,200",3965,Millenials
Trinidad and Tobago,1992,male,55-74 years,16,61400,Trinidad and Tobago1992,,"5,439,552,941",4803,Silent
Finland,1999,male,5-14 years,1,329646,Finland1999,,"135,225,868,315",27800,Millenials
Denmark,2000,male,75+ years,72,138454,Denmark2000,0.862,"164,158,800,460",32841,G.I. Generation
Turkmenistan,1989,female,55-74 years,16,151500,Turkmenistan1989,,"3,006,988,217",1003,G.I. Generation
Norway,2010,female,35-54 years,68,674673,Norway2010,0.94,"429,130,952,709",93638,Generation X
Iceland,2000,female,35-54 years,4,37863,Iceland2000,0.859,"8,927,140,438",34372,Boomers
Turkmenistan,1987,female,25-34 years,12,274700,Turkmenistan1987,,"2,331,358,820",815,Boomers
Kyrgyzstan,2014,male,15-24 years,61,567126,Kyrgyzstan2014,0.655,"7,468,096,567",1465,Millenials
New Zealand,1998,male,75+ years,20,71400,New Zealand1998,,"56,227,696,195",16052,G.I. Generation
Australia,2015,male,55-74 years,457,2337430,Australia2015,,"1,349,034,029,453",60656,Boomers
Serbia,2007,male,35-54 years,272,1026072,Serbia2007,,"40,289,556,656",5748,Boomers
Lithuania,2000,female,35-54 years,121,493992,Lithuania2000,0.754,"11,539,211,480",3481,Boomers
Guyana,1993,female,75+ years,0,5036,Guyana1993,,"442,273,433",671,G.I. Generation
Italy,2008,female,25-34 years,97,3960976,Italy2008,,"2,390,729,163,615",41935,Generation X
Romania,2010,male,55-74 years,704,1977886,Romania2010,0.785,"166,658,327,827",8190,Silent
Suriname,1990,male,25-34 years,8,34000,Suriname1990,,"388,300,000",1114,Boomers
Kazakhstan,2000,female,15-24 years,169,1375343,Kazakhstan2000,0.679,"18,291,990,619",1328,Generation X
Kyrgyzstan,1990,male,5-14 years,16,511400,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
Trinidad and Tobago,1993,male,15-24 years,26,123800,Trinidad and Tobago1993,,"4,669,488,516",4066,Generation X
Netherlands,1990,female,35-54 years,184,1976000,Netherlands1990,0.829,"314,267,667,675",22425,Silent
Czech Republic,2004,female,35-54 years,99,1417483,Czech Republic2004,,"119,162,172,468",12226,Boomers
New Zealand,2001,male,35-54 years,130,544420,New Zealand2001,,"53,872,425,917",14968,Boomers
Panama,1985,female,35-54 years,1,182000,Panama1985,0.648,"6,541,517,100",3443,Silent
Kyrgyzstan,2014,female,5-14 years,8,529606,Kyrgyzstan2014,0.655,"7,468,096,567",1465,Generation Z
Qatar,2014,female,15-24 years,1,85593,Qatar2014,0.85,"206,224,725,275",91587,Millenials
Netherlands,1987,female,75+ years,66,499000,Netherlands1987,,"241,918,791,123",17560,G.I. Generation
Israel,1989,male,15-24 years,25,405300,Israel1989,,"49,881,433,991",12405,Generation X
Mexico,1989,female,25-34 years,64,6186000,Mexico1989,,"222,977,046,516",3125,Boomers
Republic of Korea,1996,male,55-74 years,796,2313200,Republic of Korea1996,,"598,099,073,901",14071,Silent
Saint Vincent and Grenadines,2014,male,15-24 years,0,9888,Saint Vincent and Grenadines2014,0.72,"725,185,185",7203,Millenials
Japan,2009,female,35-54 years,2328,16517000,Japan2009,,"5,231,382,674,594",43415,Boomers
United Kingdom,2000,female,35-54 years,386,8366055,United Kingdom2000,0.865,"1,647,951,278,560",29358,Boomers
Belarus,1998,female,15-24 years,39,755800,Belarus1998,,"15,222,012,660",1570,Generation X
Antigua and Barbuda,1994,male,15-24 years,0,5976,Antigua and Barbuda1994,,"589,429,593",9062,Generation X
Hungary,2001,male,75+ years,276,205366,Hungary2001,,"53,821,315,066",5546,Silent
Kuwait,1995,female,55-74 years,0,23300,Kuwait1995,0.752,"27,191,689,008",17995,Silent
Iceland,2002,female,35-54 years,4,39430,Iceland2002,,"9,207,689,916",34556,Boomers
Belize,1989,male,5-14 years,0,25197,Belize1989,,"363,150,000",2372,Generation X
Lithuania,1995,female,35-54 years,113,481445,Lithuania1995,0.701,"7,870,782,261",2324,Boomers
Saint Vincent and Grenadines,2012,female,35-54 years,2,13558,Saint Vincent and Grenadines2012,0.715,"692,933,741",6918,Generation X
Kazakhstan,1993,female,75+ years,69,308200,Kazakhstan1993,,"23,409,027,476",1527,G.I. Generation
United States,2011,female,15-24 years,863,21552069,United States2011,0.911,"15,517,926,000,000",53452,Millenials
Norway,2011,female,5-14 years,4,299327,Norway2011,0.941,"498,831,558,926",107430,Generation Z
South Africa,1996,female,5-14 years,0,5078295,South Africa1996,,"147,607,982,695",3908,Millenials
Italy,2005,female,5-14 years,2,2656241,Italy2005,0.856,"1,852,661,982,341",33536,Millenials
Canada,1994,male,75+ years,160,527500,Canada1994,,"578,139,279,438",21219,G.I. Generation
Kazakhstan,2014,female,75+ years,47,325593,Kazakhstan2014,0.788,"221,415,572,820",14351,Silent
Ireland,2002,female,5-14 years,2,267794,Ireland2002,,"127,945,379,258",35154,Millenials
Australia,2004,male,15-24 years,205,1420482,Australia2004,,"611,904,253,806",32454,Millenials
Albania,2006,male,35-54 years,0,379076,Albania2006,,"8,992,642,349",3235,Boomers
Slovakia,2004,female,55-74 years,35,504749,Slovakia2004,,"57,240,535,138",11177,Silent
United States,2000,female,35-54 years,2736,41881451,United States2000,0.883,"10,284,779,000,000",39218,Boomers
Malta,1992,male,15-24 years,2,26700,Malta1992,,"3,021,910,217",9040,Generation X
Estonia,2009,male,15-24 years,23,94705,Estonia2009,,"19,652,492,637",15609,Millenials
Panama,2014,female,55-74 years,1,233859,Panama2014,0.78,"49,921,464,400",14181,Boomers
Maldives,2007,male,25-34 years,2,33612,Maldives2007,,"1,868,383,461",6115,Generation X
Kazakhstan,2003,female,25-34 years,114,1159693,Kazakhstan2003,,"30,833,699,703",2232,Generation X
Kuwait,1986,male,35-54 years,3,246500,Kuwait1986,,"17,903,681,693",11661,Silent
Argentina,2002,male,75+ years,234,566447,Argentina2002,,"97,724,004,252",2840,Silent
Mexico,1989,female,35-54 years,79,6807000,Mexico1989,,"222,977,046,516",3125,Silent
Russian Federation,1994,male,35-54 years,22338,19044200,Russian Federation1994,,"395,077,301,248",2853,Boomers
Trinidad and Tobago,2009,male,25-34 years,27,114143,Trinidad and Tobago2009,,"19,175,196,446",15652,Generation X
Mexico,1987,female,15-24 years,113,8559000,Mexico1987,,"140,263,387,027",2064,Generation X
France,2005,female,75+ years,474,3160051,France2005,0.867,"2,196,126,103,718",38420,Silent
Uzbekistan,2002,male,25-34 years,288,1927000,Uzbekistan2002,,"9,687,951,055",428,Generation X
United States,1999,female,15-24 years,575,18439463,United States1999,,"9,660,624,000,000",38072,Generation X
Brazil,2012,male,35-54 years,2885,25463652,Brazil2012,0.746,"2,465,188,674,415",13283,Generation X
Georgia,1995,female,5-14 years,0,366100,Georgia1995,,"2,693,731,866",611,Millenials
Bahamas,1995,female,5-14 years,0,27700,Bahamas1995,,"3,429,000,000",13473,Millenials
Switzerland,2006,male,55-74 years,262,737861,Switzerland2006,,"430,921,192,375",60536,Silent
Argentina,2005,female,75+ years,59,1101024,Argentina2005,0.775,"198,737,095,012",5590,Silent
Finland,2014,male,25-34 years,110,356059,Finland2014,0.883,"272,609,288,690",52832,Millenials
Georgia,1990,female,25-34 years,4,451450,Georgia1990,,"7,753,501,868",1555,Boomers
Germany,1998,female,75+ years,701,3977300,Germany1998,,"2,243,225,519,618",28733,G.I. Generation
Israel,1995,female,75+ years,27,121800,Israel1995,0.817,"100,343,219,507",20159,G.I. Generation
Jamaica,2003,male,5-14 years,0,290641,Jamaica2003,,"9,399,447,609",3852,Millenials
Jamaica,1985,male,25-34 years,1,156000,Jamaica1985,0.65,"2,100,223,150",1032,Boomers
Armenia,2013,male,5-14 years,1,193754,Armenia2013,0.731,"11,121,465,767",3957,Generation Z
Italy,1998,female,5-14 years,1,2707786,Italy1998,,"1,266,309,245,009",23342,Millenials
Germany,2010,female,35-54 years,805,12316695,Germany2010,0.906,"3,417,094,562,649",43614,Generation X
